time, instructions, freed, alive, gc_latency (us)
0, 1, 0, 0, 67408
10175, 1870125, 1158206, 986771, 750158
20271, 1950660, 1207554, 2015680, 1434223
30271, 1733321, 1737401, 2558945, 1807857
40271, 1501633, 1505206, 3029617, 2304880
50271, 1415515, 1418856, 3473271, 2319397
60271, 1384016, 1448046, 3869234, 2258121
70271, 1257244, 1885867, 3873964, 2567689
80271, 1181607, 1772412, 3878427, 2582913
90271, 1178657, 1766196, 3884558, 2500165
100271, 1173217, 1204397, 3924765, 2277443
110271, 1273048, 1277879, 3924765, 2260377
120271, 1289345, 1294226, 3924764, 2220035
130271, 1278601, 1296946, 3924765, 2303481
140271, 1259519, 1264303, 3924764, 2269873
150271, 1268013, 1272808, 3924765, 2207124
160271, 1286880, 1305261, 3924765, 2285919
170271, 1270336, 1275160, 3924765, 2264750
180271, 1284720, 1289578, 3924765, 2243381
190271, 1273090, 1291420, 3924765, 2264783
200271, 1273465, 1278300, 3924764, 2223172
210271, 1277811, 1282641, 3924765, 2214588
220271, 1277889, 1296238, 3924764, 2335499
230271, 1264267, 1269064, 3924765, 2209277
240271, 1295574, 1300476, 3924765, 2250176
250271, 1275241, 1293580, 3924764, 2266707
260271, 1277277, 1282125, 3924765, 2219088
270271, 1282249, 1287100, 3924764, 2224227
280271, 1280884, 1299243, 3924764, 2275523
290271, 1269625, 1274443, 3924765, 2238159
300271, 1283538, 1288393, 3924765, 2259012
310271, 1273671, 1292002, 3924764, 2259271
320271, 1275758, 1280602, 3924764, 2240381
330271, 1274173, 1278990, 3924765, 2212245
340271, 1275938, 1294278, 3924765, 2341626
350271, 1252582, 1257332, 3924765, 2216388
360271, 1297401, 1302313, 3924764, 2228775
370271, 1282380, 1300745, 3924764, 2271990
380271, 1275185, 1280025, 3924765, 2246328
390271, 1260941, 1265711, 3924764, 2284957
400271, 1258365, 1276637, 3924765, 2317269
410271, 1262425, 1267211, 3924764, 2245417
420271, 1278525, 1283369, 3924765, 2266759
430271, 1271827, 1290150, 3924764, 2267025
440271, 1271211, 1276030, 3924765, 2228756
450271, 1276676, 1281511, 3924765, 2219992
460271, 1285204, 1303579, 3924765, 2267386
470271, 1272971, 1277798, 3924764, 2249175
480271, 1281268, 1286121, 3924764, 2264520
490271, 1277324, 1295668, 3924764, 2255204
500271, 1278292, 1283137, 3924764, 2265841
510271, 1273504, 1278330, 3924764, 2200018
520271, 1295771, 1314182, 3924765, 2268480
530271, 1275347, 1280184, 3924764, 2223306
540271, 1299676, 1304599, 3924764, 2222740
550271, 1288696, 1307086, 3924764, 2261297
560271, 1265284, 1270081, 3924764, 2261914
570271, 1267065, 1271861, 3924765, 2197684
580271, 1297286, 1315707, 3924765, 2239634
