time, instructions, freed, alive, gc_latency (us)
0, 1, 0, 0, 3425
1236, 2, 0, 0, 67185
336, 3440, 4786, 1100, 65661
436, 4417, 8493, 466, 77079
536, 4762, 5578, 508, 74455
636, 4911, 5811, 990, 71420
736, 5671, 6800, 1117, 71876
836, 5542, 7304, 1302, 72394
936, 5538, 9292, 1443, 73326
1036, 5479, 7060, 1513, 72980
1136, 5559, 8165, 2653, 73287
1236, 5424, 9146, 3478, 73889
1336, 4917, 10084, 2118, 74342
1436, 4694, 6884, 2208, 73301
1536, 5057, 6374, 3096, 73269
1636, 5051, 5364, 5144, 73300
1736, 5374, 6286, 5220, 73763
1836, 5258, 6151, 5295, 73799
1936, 5016, 6738, 5326, 74107
2036, 4817, 7006, 5562, 74903
2136, 4336, 5175, 6529, 80122
2236, 3671, 4559, 6765, 74792
2336, 5045, 6533, 6865, 75922
2436, 4789, 6016, 6949, 75653
2536, 4872, 6294, 7045, 75728
2636, 4808, 6288, 7098, 75751
2736, 4832, 6203, 7215, 75708
2836, 4805, 5951, 7310, 75475
2936, 4558, 5793, 7361, 75396
3036, 4542, 5648, 7477, 75666
3136, 4769, 5104, 7916, 75392
3236, 4889, 5696, 8126, 76283
3336, 4715, 6016, 8180, 76461
3436, 4668, 5968, 8206, 76420
3536, 4692, 5981, 8165, 76452
3636, 4644, 6197, 8185, 76462
3736, 4660, 6007, 8131, 76450
3836, 4668, 5950, 8172, 76415
3936, 4674, 6010, 8201, 76440
4036, 4398, 5598, 8160, 75935
4136, 4470, 5700, 8165, 81567
4236, 3498, 4184, 8136, 75798
4336, 4828, 5469, 8418, 75857
4436, 4791, 6601, 7903, 76731
4536, 4561, 5795, 7903, 76288
4636, 4680, 6009, 7966, 76360
4736, 4670, 6023, 8036, 76437
4836, 4629, 6073, 8044, 76473
4936, 4632, 5929, 8127, 76446
5036, 4650, 5896, 8188, 76413
5136, 4590, 5897, 8190, 76068
5236, 4442, 5653, 8204, 76009
5336, 4497, 5576, 8252, 76035
5436, 4744, 5159, 8680, 75754
5536, 4842, 5778, 8702, 76383
5636, 4649, 6166, 8760, 76758
5736, 4585, 5790, 8742, 76599
5836, 4613, 5906, 8791, 76605
5936, 4604, 5954, 8839, 76622
6036, 4581, 6021, 8825, 76694
6136, 4589, 5883, 8871, 76656
6236, 4615, 5884, 8909, 76658
6336, 4335, 5569, 8861, 76149
6436, 4412, 5652, 8848, 76166
6536, 4702, 5398, 8921, 75995
6636, 4773, 5457, 9178, 76581
6736, 4618, 5867, 9201, 76670
6836, 4431, 5965, 9232, 76689
6936, 4630, 5880, 9189, 76411
7036, 4676, 6040, 9210, 76530
7136, 4651, 6049, 9247, 76472
7236, 4653, 6131, 9191, 76459
7336, 4663, 6043, 9236, 76515
7436, 4472, 5618, 9214, 75995
7536, 4487, 5738, 9214, 76005
7636, 4667, 5523, 9236, 75995
7736, 4789, 5407, 9562, 75826
7836, 4831, 6321, 9263, 76683
7936, 4614, 5923, 9254, 76398
8036, 4704, 6106, 9300, 76546
8136, 4618, 6010, 9254, 80973
8236, 3711, 4798, 9275, 76169
8336, 4755, 6220, 9317, 76533
8436, 4682, 5881, 9281, 76436
8536, 4583, 5868, 9301, 76074
8636, 4466, 5694, 9285, 75936
8736, 4548, 5681, 9307, 76086
8836, 4754, 5159, 9698, 75750
8936, 4854, 5916, 9753, 76613
9036, 4628, 6019, 9796, 76597
9136, 4645, 5914, 9786, 76554
9236, 4650, 5991, 9819, 76632
9336, 4630, 5986, 9870, 76621
9436, 4600, 6050, 9840, 76668
9536, 4611, 5947, 9888, 76534
9636, 4661, 5985, 9929, 76639
9736, 4358, 5559, 9884, 76015
9836, 4478, 5711, 9872, 76121
9936, 4688, 5460, 9925, 76095
10036, 4776, 5375, 10295, 75954
10136, 4775, 6356, 10114, 76894
10236, 4568, 5888, 10144, 76801
10336, 4616, 5845, 10185, 76680
10436, 4616, 5922, 10162, 76747
10536, 4579, 6130, 10192, 76750
10636, 4618, 5870, 10155, 76721
10736, 4607, 5918, 10203, 76697
10836, 4452, 5712, 10180, 76382
10936, 4394, 5633, 10164, 76139
11036, 4628, 5477, 10241, 76313
11136, 4699, 5269, 10590, 76085
11236, 4768, 6262, 10308, 76948
11336, 4529, 5916, 10311, 76856
11436, 4560, 5929, 10377, 76793
11536, 4604, 5779, 10443, 76742
11636, 4606, 5939, 10443, 76820
11736, 4589, 5974, 10507, 76803
11836, 4564, 5885, 10513, 76772
11936, 4510, 5729, 10564, 76314
12036, 4394, 5602, 10578, 76300
12136, 4472, 5557, 10574, 76333
12236, 4685, 5332, 10765, 76158
12336, 4755, 5537, 10847, 76679
12436, 4618, 6080, 10887, 76970
12536, 4534, 5850, 10854, 76878
12636, 4575, 5800, 10900, 76834
12736, 4582, 5927, 10929, 76944
12836, 4521, 5951, 10891, 76963
12936, 4558, 5797, 10924, 76831
13036, 4590, 5893, 10959, 76950
13136, 4282, 5450, 10929, 76268
13236, 4411, 5603, 10944, 76361
13336, 4585, 5435, 10931, 76389
13436, 4689, 5296, 11248, 76289
13536, 4699, 5886, 11241, 76950
13636, 4533, 5938, 11185, 76974
13736, 4534, 5844, 11218, 76919
13836, 4564, 5764, 11232, 76940
13936, 4561, 5828, 11201, 76971
14036, 4518, 6012, 11218, 77012
14136, 4555, 5768, 11173, 76910
14236, 4473, 5690, 11219, 76512
14336, 4352, 5550, 11213, 2159904
16496, 1, 1, 11214, 74873
16596, 4610, 5875, 11202, 77114
16696, 4493, 5209, 11291, 76995
16796, 4626, 5174, 11649, 77032
16896, 4591, 5856, 11555, 77712
16996, 4419, 5831, 11507, 77755
17096, 4433, 5732, 11551, 77581
17196, 4501, 5730, 11571, 77610
