time, instructions, freed, alive, gc_latency (us)
0, 1, 0, 0, 2955
100, 19238, 28076, 27, 9925
200, 18786, 27431, 25, 9485
300, 19026, 27777, 28, 9563
400, 18981, 27720, 26, 9498
500, 19068, 27838, 28, 9532
600, 19049, 27816, 28, 9510
700, 19128, 27934, 25, 9290
800, 19256, 28118, 25, 9352
900, 19170, 27990, 28, 9316
1000, 19157, 27974, 25, 9699
1100, 19049, 27814, 27, 9265
1200, 19066, 27843, 27, 9249
1300, 19133, 27936, 27, 9263
1400, 19110, 27904, 28, 9323
1500, 19145, 27959, 26, 9326
1600, 19104, 27893, 29, 9317
1700, 19108, 27904, 27, 9253
1800, 19114, 27910, 27, 9535
1900, 18987, 27725, 26, 9233
2000, 18981, 27714, 28, 9564
2100, 18763, 27399, 28, 9219
2200, 19102, 27894, 26, 9326
2300, 18993, 27733, 28, 9251
2400, 19049, 27816, 28, 9246
2500, 19157, 27976, 25, 9280
2600, 19090, 27874, 28, 9284
2700, 19073, 27850, 28, 9250
2800, 19121, 27921, 28, 9261
2900, 19047, 27813, 28, 9243
3000, 19105, 27900, 25, 9254
3100, 19136, 27940, 29, 9264
3200, 19148, 27965, 24, 9277
3300, 19064, 27834, 27, 9263
3400, 19064, 27840, 26, 9256
3500, 19090, 27873, 28, 9253
3600, 19079, 27865, 24, 9260
3700, 19089, 27869, 29, 9764
3800, 19038, 27798, 28, 9239
3900, 19069, 27847, 25, 9240
4000, 19036, 27796, 28, 10413
4100, 18720, 27335, 27, 10490
4200, 18865, 27546, 29, 9211
4300, 19054, 27826, 26, 9267
4400, 19088, 27871, 28, 9276
4500, 19090, 27877, 26, 9268
4600, 19114, 27909, 28, 9345
4700, 19016, 27768, 28, 9336
4800, 19045, 27812, 26, 9247
4900, 19094, 27880, 27, 9304
5000, 19092, 27878, 28, 9320
5100, 19169, 27991, 28, 9339
5200, 19131, 27937, 26, 9322
5300, 19076, 27854, 28, 10392
5400, 18854, 27532, 27, 9181
5500, 19071, 27848, 28, 9243
5600, 19144, 27956, 26, 9272
