time, instructions, freed, alive, gc_latency (us)
0, 1, 0, 0, 4636
10000, 326716, 482364, 28398, 252635
20000, 1651648, 2600023, 46815, 1466049
30000, 1508467, 2127699, 73118, 1083813
40000, 1678631, 2219376, 85512, 1048889
50000, 1642727, 2306892, 90722, 1094080
60000, 1624110, 2147906, 88606, 1043362
70000, 1685828, 2252023, 91085, 1028204
80000, 1669216, 2269436, 91200, 1076227
90000, 1685736, 2276610, 81074, 1057108
100000, 1654652, 2206678, 91895, 992026
110000, 1703316, 2203426, 92094, 1031976
120000, 1680328, 2310913, 97316, 1061640
130000, 1687025, 2188641, 95097, 1027058
140000, 1691457, 2254786, 97607, 1007299
150000, 1680641, 2230705, 97416, 1006367
160000, 1691627, 2289896, 87655, 1063895
170000, 1676998, 2182628, 93086, 1052401
180000, 1694865, 2159528, 91229, 1024171
190000, 1669943, 2282914, 98574, 1098196
200000, 1668763, 2123252, 93689, 977904
210000, 1670696, 2272941, 98897, 1067947
220000, 1688624, 2126679, 94625, 1004562
230000, 1682011, 2261290, 99257, 1063945
240000, 1681800, 2149929, 92438, 990941
250000, 1687909, 2242175, 96730, 1007323
260000, 1679809, 2151340, 98955, 997499
270000, 1667398, 2248304, 94512, 1026903
280000, 1681314, 2110979, 99757, 987676
290000, 1674032, 2249269, 94995, 1049318
300000, 1673806, 2094536, 100360, 950987
310000, 1696467, 2232979, 89949, 1026140
320000, 1672436, 2132004, 95650, 964964
330000, 1687794, 2147823, 95648, 982513
340000, 1681359, 2200416, 100790, 994928
350000, 1683866, 2130202, 92881, 1003578
360000, 1672636, 2202089, 100886, 978920
370000, 1697601, 2137951, 94509, 979573
380000, 1676873, 2216509, 100897, 1000912
390000, 1677221, 2105648, 90086, 979909
400000, 1675804, 2224231, 95766, 992176
410000, 1694216, 2106706, 95568, 993751
420000, 1666318, 2221474, 100895, 996057
430000, 1699220, 2107538, 95692, 972665
440000, 1666070, 2231570, 100849, 1006527
450000, 1680051, 2072702, 95707, 961945
460000, 1665818, 2235923, 100864, 1036489
470000, 1684371, 2077758, 90588, 982309
480000, 1669832, 2239450, 95722, 1008829
490000, 1692492, 2074320, 95691, 956761
500000, 1675773, 2248317, 100878, 1029845
510000, 1671179, 2051702, 95695, 948208
520000, 1681103, 2256532, 100836, 1028208
530000, 1678157, 2066523, 96599, 984085
