time, instructions, freed, alive, gc_latency (us)
0, 1, 0, 0, 2926
100, 19512, 27463, 18, 10380
200, 18740, 26402, 20, 9358
300, 19058, 26875, 18, 9592
400, 19235, 27113, 19, 9439
500, 19326, 27230, 19, 9475
600, 19255, 27147, 18, 9464
700, 18937, 26681, 18, 9435
800, 19287, 27176, 20, 9481
900, 19263, 27152, 18, 9459
1000, 18966, 26730, 21, 9404
1100, 19183, 27038, 18, 9438
1200, 19236, 27117, 18, 9442
1300, 19284, 27168, 18, 9505
1400, 19216, 27070, 18, 9473
1500, 19157, 27000, 20, 9453
1600, 19215, 27090, 21, 9470
1700, 19278, 27171, 21, 9435
1800, 19297, 27197, 18, 9522
1900, 19298, 27202, 18, 9420
2000, 19188, 27038, 16, 10345
2100, 18674, 26333, 19, 9261
2200, 19330, 27225, 18, 9494
2300, 19293, 27197, 18, 9436
2400, 18971, 26742, 21, 9342
2500, 19357, 27274, 18, 9514
2600, 19305, 27208, 22, 9442
2700, 19060, 26845, 19, 9442
2800, 19307, 27242, 17, 9420
2900, 19395, 27320, 17, 9463
3000, 19293, 27202, 17, 9447
3100, 19033, 26803, 19, 9450
3200, 19446, 27398, 20, 9514
3300, 19430, 27406, 19, 9575
3400, 19270, 27151, 18, 9404
3500, 18981, 26752, 19, 9343
3600, 19392, 27318, 22, 9484
3700, 19396, 27356, 16, 9475
3800, 19451, 27406, 18, 9448
3900, 19401, 27367, 14, 9521
4000, 19270, 27129, 18, 10656
4100, 18939, 26677, 20, 9687
4200, 19358, 27314, 15, 9444
4300, 19461, 27418, 16, 9562
4400, 19380, 27311, 19, 9457
4500, 19360, 27296, 16, 9486
4600, 19453, 27400, 20, 9554
4700, 19439, 27407, 17, 9465
4800, 19430, 27385, 18, 9446
4900, 19375, 27309, 17, 9420
5000, 19311, 27204, 18, 9553
5100, 19398, 27344, 20, 9433
5200, 19402, 27336, 18, 9447
5300, 19255, 27149, 17, 9439
5400, 19359, 27273, 20, 9472
5500, 19355, 27281, 18, 9549
5600, 19386, 27323, 22, 9489
5700, 19445, 27399, 19, 9462
5800, 19463, 27441, 20, 9454
5900, 19400, 27334, 17, 9479
6000, 19063, 26872, 15, 9534
6100, 19299, 27181, 20, 9407
6200, 19326, 27262, 19, 9448
6300, 19386, 27312, 19, 9479
6400, 19360, 27290, 18, 9493
6500, 18906, 26639, 20, 9719
6600, 19206, 27070, 18, 9403
6700, 19472, 27432, 20, 9456
6800, 19393, 27353, 16, 9553
6900, 19135, 26954, 21, 9400
7000, 19450, 27414, 22, 9440
7100, 19421, 27366, 17, 9449
7200, 19200, 27064, 20, 9437
7300, 19435, 27394, 19, 9436
7400, 19393, 27321, 21, 9498
7500, 19084, 26907, 16, 9400
7600, 19429, 27391, 19, 9351
7700, 19420, 27356, 19, 9273
7800, 19135, 26955, 20, 9387
7900, 19431, 27408, 19, 9464
8000, 19380, 27303, 18, 9424
8100, 19221, 27094, 18, 9374
8200, 19384, 27314, 19, 9315
8300, 19398, 27339, 19, 9352
8400, 19441, 27400, 18, 9487
8500, 19406, 27340, 20, 9438
8600, 19292, 27209, 20, 9301
8700, 19237, 27101, 19, 9286
8800, 19468, 27443, 22, 9350
8900, 19430, 27377, 18, 9372
9000, 19148, 26983, 19, 9371
9100, 19381, 27317, 20, 9452
9200, 19388, 27322, 18, 9490
9300, 19361, 27291, 19, 9387
9400, 19060, 26863, 18, 9494
9500, 19378, 27307, 17, 9331
9600, 19433, 27396, 20, 9364
9700, 19433, 27382, 17, 9355
9800, 19118, 26933, 20, 9464
9900, 19396, 27346, 18, 9446
10000, 19416, 27363, 17, 9429
10100, 19462, 27442, 17, 9365
10200, 19427, 27365, 21, 9347
