time, instructions, freed, alive, gc_latency (us)
0, 1, 4, 2, 3118
100, 16727, 24251, 142, 9264
200, 16415, 23666, 245, 8836
300, 16513, 23870, 262, 8876
400, 16585, 23997, 298, 8884
500, 16629, 24033, 315, 8946
600, 16878, 24411, 326, 9028
700, 16754, 24253, 326, 8981
800, 16812, 24338, 329, 9130
900, 16904, 24513, 321, 9117
1000, 16923, 24532, 325, 9126
1100, 16920, 24526, 328, 9090
1200, 16974, 24603, 325, 9094
1300, 16909, 24501, 329, 9087
1400, 16910, 24513, 326, 9189
1500, 16957, 24603, 313, 9090
1600, 16982, 24638, 325, 9113
1700, 16983, 24640, 335, 9078
1800, 16986, 24684, 323, 9137
1900, 17027, 24724, 326, 9050
2000, 16811, 24396, 335, 9419
2100, 16756, 24352, 328, 9158
2200, 16959, 24608, 336, 9039
2300, 16934, 24583, 326, 9105
2400, 16912, 24524, 334, 9121
2500, 16949, 24597, 332, 9070
2600, 16929, 24590, 321, 9114
2700, 16987, 24652, 326, 9110
2800, 16962, 24625, 325, 9100
2900, 16833, 24425, 325, 9129
3000, 16916, 24563, 309, 9033
3100, 16998, 24653, 340, 9062
3200, 16772, 24353, 351, 9050
3300, 16746, 24254, 349, 9063
3400, 16667, 24109, 359, 9004
3500, 16525, 23891, 390, 8926
3600, 16575, 23996, 407, 8978
3700, 16656, 24060, 455, 9001
3800, 16086, 23284, 463, 9087
3900, 16154, 23391, 473, 8981
4000, 16425, 23723, 503, 12028
4100, 15861, 22912, 527, 8798
4200, 16227, 23476, 544, 8890
4300, 16206, 23461, 543, 8909
4400, 16631, 24069, 568, 9030
4500, 16560, 23956, 570, 9021
4600, 16593, 24035, 581, 8983
4700, 16577, 24032, 567, 9017
4800, 16597, 24026, 579, 9007
4900, 16536, 23932, 586, 9007
5000, 16592, 24026, 593, 8999
5100, 16616, 24086, 579, 9058
5200, 16562, 23981, 592, 9035
5300, 16597, 24056, 578, 9014
5400, 16575, 23980, 606, 9020
5500, 16506, 23872, 606, 9038
5600, 16234, 23454, 626, 8953
5700, 16358, 23658, 644, 8956
5800, 16332, 23648, 669, 8940
5900, 16431, 23806, 684, 9008
6000, 16470, 23896, 663, 9061
6100, 16500, 23891, 701, 9014
6200, 16504, 23916, 695, 9054
6300, 16521, 23991, 707, 9083
6400, 16352, 23686, 708, 8981
6500, 16343, 23654, 737, 8997
6600, 16471, 23876, 734, 9041
6700, 16409, 23786, 749, 9034
6800, 16387, 23658, 751, 8988
6900, 16442, 23787, 746, 8993
7000, 16389, 23736, 754, 9010
7100, 16480, 23812, 762, 9041
7200, 16582, 23955, 774, 9083
7300, 16344, 23642, 786, 9001
7400, 16360, 23702, 803, 9001
7500, 16567, 24037, 798, 9120
7600, 16594, 23992, 821, 9095
7700, 16587, 24000, 823, 9107
7800, 16574, 23937, 841, 9042
7900, 16600, 23964, 836, 9106
8000, 16545, 23861, 850, 9075
8100, 16263, 23536, 860, 9295
8200, 16507, 23870, 865, 9089
8300, 16345, 23587, 870, 9019
8400, 16347, 23560, 901, 8999
8500, 16533, 23824, 896, 9092
8600, 16560, 23844, 915, 9076
8700, 16562, 23948, 908, 9104
8800, 16583, 23897, 926, 9110
8900, 16549, 23880, 926, 9115
