trial,hw_to_kernel,kernel_to_user,total
0, 741, 427, 1254
1, 399, 371, 798
2, 370, 314, 712
3, 371, 342, 741
4, 370, 342, 741
5, 371, 342, 741
6, 370, 342, 741
7, 371, 342, 770
8, 371, 342, 741
9, 370, 342, 741
10, 371, 342, 741
11, 370, 342, 741
12, 371, 342, 741
13, 370, 342, 769
14, 370, 314, 741
15, 371, 342, 741
16, 370, 342, 741
17, 371, 342, 741
18, 370, 342, 741
19, 371, 342, 770
20, 342, 342, 741
21, 370, 342, 741
22, 371, 342, 741
23, 370, 342, 741
24, 371, 342, 741
25, 370, 342, 741
26, 371, 342, 770
27, 342, 342, 741
28, 370, 342, 741
29, 371, 342, 741
30, 370, 342, 741
31, 371, 342, 741
32, 370, 342, 741
33, 371, 342, 741
34, 370, 342, 741
35, 371, 342, 741
36, 370, 342, 769
37, 370, 342, 769
38, 342, 342, 741
39, 370, 342, 741
40, 371, 342, 741
41, 370, 342, 741
42, 371, 342, 741
43, 513, 342, 883
44, 370, 342, 741
45, 371, 342, 741
46, 370, 342, 741
47, 371, 342, 770
48, 371, 313, 741
49, 370, 342, 741
50, 371, 342, 741
51, 370, 342, 741
52, 371, 342, 741
53, 370, 342, 741
54, 371, 342, 741
55, 370, 342, 741
56, 371, 342, 770
57, 371, 313, 741
58, 370, 342, 741
59, 371, 342, 741
60, 370, 342, 741
61, 371, 342, 741
62, 370, 342, 741
63, 371, 342, 741
64, 370, 342, 741
65, 371, 342, 770
66, 342, 342, 741
67, 370, 314, 741
68, 371, 342, 741
69, 370, 342, 741
70, 371, 342, 741
71, 370, 342, 741
72, 371, 342, 741
73, 370, 342, 741
74, 371, 342, 741
75, 370, 342, 769
76, 342, 342, 741
77, 371, 313, 741
78, 370, 342, 741
79, 371, 342, 741
80, 370, 342, 741
81, 371, 342, 741
82, 370, 342, 741
83, 371, 342, 741
84, 370, 342, 769
85, 370, 314, 741
86, 371, 342, 741
87, 370, 342, 741
88, 371, 342, 741
89, 370, 342, 741
90, 371, 342, 741
91, 370, 342, 769
92, 370, 314, 741
93, 371, 342, 741
94, 370, 342, 741
95, 371, 342, 741
96, 370, 342, 741
97, 371, 342, 741
98, 370, 342, 769
99, 342, 342, 741
100, 371, 342, 741
101, 370, 342, 741
102, 371, 342, 741
103, 370, 342, 741
104, 371, 342, 741
105, 370, 342, 769
106, 370, 314, 741
107, 371, 342, 741
108, 370, 342, 741
109, 371, 342, 741
110, 370, 342, 741
111, 370, 342, 741
112, 371, 342, 741
113, 370, 342, 741
114, 371, 342, 741
115, 370, 342, 741
116, 371, 342, 770
117, 371, 313, 741
118, 370, 342, 741
119, 371, 342, 741
120, 370, 342, 741
121, 371, 342, 741
122, 370, 342, 741
123, 371, 342, 770
124, 371, 342, 741
125, 370, 342, 741
126, 371, 342, 741
127, 370, 342, 741
128, 371, 342, 770
129, 342, 342, 741
130, 370, 342, 741
131, 371, 342, 741
132, 370, 342, 741
133, 371, 342, 741
134, 370, 342, 741
135, 371, 342, 770
136, 342, 342, 741
137, 370, 342, 741
138, 371, 342, 741
139, 370, 342, 741
140, 371, 342, 741
141, 370, 342, 741
142, 371, 342, 770
143, 342, 342, 741
144, 370, 342, 741
145, 371, 342, 741
146, 370, 342, 741
147, 371, 342, 741
148, 370, 342, 741
149, 371, 342, 741
150, 370, 342, 741
151, 371, 342, 770
152, 342, 342, 741
153, 370, 314, 741
154, 371, 342, 741
155, 370, 342, 741
156, 371, 342, 741
157, 370, 342, 741
158, 371, 342, 741
159, 370, 342, 769
160, 342, 342, 741
161, 342, 342, 741
162, 370, 342, 741
163, 371, 342, 741
164, 370, 342, 741
165, 371, 342, 741
166, 370, 342, 741
167, 371, 342, 741
168, 370, 342, 741
169, 371, 342, 741
170, 370, 342, 769
171, 342, 342, 741
