trial,hw_to_kernel,kernel_to_user,total
0, 2195, 12055, 17442
1, 427, 4161, 6469
2, 370, 3848, 6042
3, 371, 3705, 5900
4, 371, 3705, 5871
5, 370, 3705, 5899
6, 370, 25394, 27645
7, 370, 3762, 5928
8, 371, 3733, 5900
9, 371, 3705, 5900
10, 371, 3705, 5900
11, 371, 3876, 6042
12, 370, 3734, 5899
13, 370, 3734, 5928
14, 371, 3705, 5900
15, 371, 3733, 5900
16, 399, 3705, 5928
17, 370, 3734, 5899
18, 399, 3705, 5928
19, 371, 3733, 5900
20, 370, 3705, 5899
21, 370, 3734, 5899
22, 370, 3734, 5899
23, 399, 3705, 5899
24, 371, 3705, 5871
25, 371, 3705, 5900
26, 371, 3705, 5900
27, 371, 3705, 5900
28, 371, 3733, 5900
29, 371, 3733, 5900
30, 370, 3705, 5899
31, 370, 3734, 5899
32, 371, 3705, 5900
33, 371, 3733, 5900
34, 370, 3705, 5899
35, 370, 3734, 5899
36, 371, 3705, 5900
37, 371, 3733, 5900
38, 399, 3705, 5900
39, 370, 3705, 5899
40, 370, 3705, 5899
41, 370, 3734, 5899
42, 370, 3705, 5899
43, 370, 3734, 5899
44, 399, 3705, 5928
45, 371, 3733, 5900
46, 371, 3733, 5900
47, 370, 3705, 5899
48, 370, 3734, 5899
49, 399, 3733, 5928
50, 371, 3733, 5900
51, 370, 3705, 5899
52, 370, 3705, 5871
53, 370, 3705, 5871
54, 370, 3705, 5871
55, 371, 3733, 5900
56, 371, 3705, 5871
57, 371, 3705, 5871
58, 370, 3705, 5899
59, 370, 3705, 5899
60, 370, 3705, 5899
61, 370, 3734, 5899
62, 370, 3734, 5899
63, 370, 3734, 5899
64, 371, 3705, 5871
65, 371, 3705, 5900
66, 371, 3705, 5900
67, 371, 3705, 5900
68, 371, 3705, 5900
69, 371, 3705, 5900
70, 371, 3705, 5871
71, 370, 3734, 5899
72, 370, 3705, 5899
73, 370, 3705, 5899
74, 370, 3705, 5871
75, 399, 3705, 5900
76, 399, 3705, 5900
77, 399, 3705, 5928
78, 370, 3705, 5899
79, 370, 3705, 5899
80, 370, 3734, 5899
81, 370, 3734, 5899
82, 399, 3705, 5899
83, 370, 3734, 5899
84, 370, 3705, 5899
85, 370, 3705, 5899
86, 370, 3705, 5871
87, 370, 3705, 5871
88, 399, 3705, 5900
89, 371, 3705, 5900
90, 371, 3705, 5900
91, 371, 3705, 5900
92, 371, 3705, 5900
93, 371, 3733, 5900
94, 371, 3733, 5900
95, 371, 3733, 5900
96, 370, 3705, 5871
97, 399, 3705, 5928
98, 370, 3705, 5871
99, 370, 3705, 5871
100, 399, 3705, 5900
101, 371, 3733, 5900
102, 371, 3705, 5900
103, 371, 3705, 5900
104, 371, 3705, 5871
105, 370, 3734, 5899
106, 399, 3705, 5899
107, 399, 3705, 5899
108, 371, 3705, 5871
109, 399, 3705, 5928
110, 371, 3705, 5900
111, 371, 3876, 6071
112, 371, 3705, 5871
113, 370, 3705, 5871
114, 371, 3676, 5843
115, 371, 3705, 5871
116, 370, 3648, 5814
117, 371, 3705, 5843
118, 371, 3705, 5871
119, 370, 3705, 5871
120, 371, 3676, 5843
121, 342, 3705, 5842
122, 342, 3705, 5843
123, 371, 3705, 5871
124, 370, 3705, 5871
125, 371, 3705, 5871
126, 370, 3705, 5871
127, 371, 3705, 5871
128, 370, 3677, 5842
129, 370, 3705, 5871
130, 371, 3676, 5843
131, 371, 3705, 5871
132, 370, 3677, 5842
133, 370, 3705, 5871
134, 371, 3676, 5843
135, 371, 3705, 5871
136, 370, 3677, 5842
137, 370, 3705, 5871
138, 371, 3705, 5871
139, 370, 3705, 5871
140, 371, 3705, 5871
141, 370, 3705, 5871
142, 371, 3705, 5843
143, 370, 3677, 5842
144, 342, 3705, 5843
145, 371, 3705, 5843
146, 370, 3677, 5842
147, 370, 3705, 5842
148, 371, 3676, 5843
149, 371, 3705, 5843
150, 342, 3705, 5842
151, 370, 3705, 5871
152, 371, 3676, 5843
153, 371, 3705, 5871
154, 342, 3705, 5843
155, 371, 3705, 5871
156, 370, 3705, 5871
157, 371, 3705, 5871
158, 370, 3705, 5842
159, 342, 3705, 5843
160, 371, 3705, 5871
161, 370, 3677, 5842
162, 342, 3705, 5843
163, 371, 3705, 5843
164, 370, 3677, 5842
165, 370, 3705, 5871
166, 371, 3676, 5843
167, 371, 3705, 5871
168, 370, 3705, 5871
169, 371, 3705, 5871
170, 370, 3705, 5842
171, 371, 3705, 5871
172, 370, 3677, 5842
173, 342, 3705, 5843
174, 342, 3705, 5842
175, 370, 3705, 5871
176, 371, 3676, 5843
177, 371, 3705, 5871
178, 370, 3677, 5842
179, 370, 3705, 5842
180, 371, 3676, 5843
181, 371, 3705, 5871
182, 370, 3677, 5842
183, 370, 3705, 5871
184, 371, 3705, 5871
185, 370, 3705, 5871
186, 371, 3705, 5871
187, 370, 3705, 5871
188, 371, 3676, 5843
189, 371, 3705, 5871
190, 342, 3705, 5843
191, 371, 3705, 5871
192, 370, 3677, 5842
193, 370, 3705, 5871
194, 371, 3676, 5843
195, 371, 3705, 5871
196, 370, 3677, 5842
197, 370, 3705, 5871
198, 371, 3705, 5871
199, 370, 3705, 5871
200, 371, 3676, 5843
201, 371, 3705, 5871
202, 370, 3705, 5871
203, 371, 3705, 5871
204, 370, 3705, 5871
205, 371, 3705, 5871
206, 370, 3677, 5842
207, 370, 3705, 5871
208, 371, 3676, 5843
209, 371, 3705, 5871
210, 370, 3677, 5842
211, 370, 3819, 5985
212, 371, 3676, 5843
213, 371, 3705, 5871
214, 370, 3705, 5842
215, 371, 3705, 5843
216, 370, 3677, 5842
217, 370, 3705, 5871
218, 371, 3705, 5871
219, 370, 3705, 5871
220, 371, 3705, 5843
221, 342, 3705, 5842
222, 370, 3705, 5871
223, 371, 3676, 5843
